lat,lon,neighborhood,num_streets,num_pois_nearby,risk_score,poi_density,street_importance,degree_normalized,weight,category,color,weight_breakdown
43.645499,-79.381333,St Lawrence-East Bayfront-The Islands,3,30,0.309,0.6,0.567,0.375,43.21,Medium,#ffff00,"{'crime_contribution': 12.38, 'poi_contribution': 12.0, 'street_contribution': 11.33, 'degree_contribution': 7.5}"
43.645561,-79.381361,Yonge-Bay Corridor,3,28,1.0,0.56,0.567,0.375,70.03,High,#ff0000,"{'crime_contribution': 40.0, 'poi_contribution': 11.2, 'street_contribution': 11.33, 'degree_contribution': 7.5}"
43.642577,-79.376064,St Lawrence-East Bayfront-The Islands,3,36,0.309,0.72,0.633,0.375,46.94,Medium,#ffff00,"{'crime_contribution': 12.38, 'poi_contribution': 14.4, 'street_contribution': 12.67, 'degree_contribution': 7.5}"
43.642788,-79.375213,St Lawrence-East Bayfront-The Islands,3,22,0.309,0.44,0.567,0.375,40.01,Medium,#ffff00,"{'crime_contribution': 12.38, 'poi_contribution': 8.8, 'street_contribution': 11.33, 'degree_contribution': 7.5}"
43.645929,-79.376412,St Lawrence-East Bayfront-The Islands,4,8,0.309,0.16,0.1,0.5,27.58,Low,#00ff00,"{'crime_contribution': 12.38, 'poi_contribution': 3.2, 'street_contribution': 2.0, 'degree_contribution': 10.0}"
43.670306,-79.386925,Annex,5,60,0.355,1.0,0.1,0.625,48.7,Medium,#ffff00,"{'crime_contribution': 14.2, 'poi_contribution': 20.0, 'street_contribution': 2.0, 'degree_contribution': 12.5}"
43.670197,-79.386628,Church-Wellesley,5,70,0.328,1.0,0.1,0.625,47.64,Medium,#ffff00,"{'crime_contribution': 13.14, 'poi_contribution': 20.0, 'street_contribution': 2.0, 'degree_contribution': 12.5}"
43.670141,-79.38686,Bay-Cloverhill,5,65,0.13,1.0,0.1,0.625,39.7,Medium,#ffff00,"{'crime_contribution': 5.2, 'poi_contribution': 20.0, 'street_contribution': 2.0, 'degree_contribution': 12.5}"
43.670364,-79.386698,Rosedale-Moore Park,5,63,0.337,1.0,0.1,0.625,47.96,Medium,#ffff00,"{'crime_contribution': 13.46, 'poi_contribution': 20.0, 'street_contribution': 2.0, 'degree_contribution': 12.5}"
43.651646,-79.383572,Yonge-Bay Corridor,2,68,1.0,1.0,0.1,0.25,67.0,High,#ff0000,"{'crime_contribution': 40.0, 'poi_contribution': 20.0, 'street_contribution': 2.0, 'degree_contribution': 5.0}"
43.673196,-79.377138,Rosedale-Moore Park,2,8,0.337,0.16,0.6,0.25,33.66,Medium,#ffff00,"{'crime_contribution': 13.46, 'poi_contribution': 3.2, 'street_contribution': 12.0, 'degree_contribution': 5.0}"
43.670248,-79.361692,Cabbagetown-South St.James Town,3,0,0.321,0.0,0.5,0.375,30.33,Medium,#ffff00,"{'crime_contribution': 12.83, 'poi_contribution': 0.0, 'street_contribution': 10.0, 'degree_contribution': 7.5}"
43.674372,-79.383334,Rosedale-Moore Park,2,4,0.337,0.08,0.3,0.25,26.06,Low,#00ff00,"{'crime_contribution': 13.46, 'poi_contribution': 1.6, 'street_contribution': 6.0, 'degree_contribution': 5.0}"
43.653517,-79.380474,Yonge-Bay Corridor,3,149,1.0,1.0,0.1,0.375,69.5,High,#ff0000,"{'crime_contribution': 40.0, 'poi_contribution': 20.0, 'street_contribution': 2.0, 'degree_contribution': 7.5}"
43.653373,-79.381617,Yonge-Bay Corridor,2,64,1.0,1.0,0.1,0.25,67.0,High,#ff0000,"{'crime_contribution': 40.0, 'poi_contribution': 20.0, 'street_contribution': 2.0, 'degree_contribution': 5.0}"
43.672074,-79.384824,Rosedale-Moore Park,4,41,0.337,0.82,0.1,0.5,41.86,Medium,#ffff00,"{'crime_contribution': 13.46, 'poi_contribution': 16.4, 'street_contribution': 2.0, 'degree_contribution': 10.0}"
43.671849,-79.384728,Rosedale-Moore Park,3,51,0.337,1.0,0.1,0.375,42.96,Medium,#ffff00,"{'crime_contribution': 13.46, 'poi_contribution': 20.0, 'street_contribution': 2.0, 'degree_contribution': 7.5}"
43.656865,-79.365384,Moss Park,2,27,0.556,0.54,0.6,0.25,50.06,Medium,#ffff00,"{'crime_contribution': 22.26, 'poi_contribution': 10.8, 'street_contribution': 12.0, 'degree_contribution': 5.0}"
43.656951,-79.364995,Regent Park,2,20,0.248,0.4,0.6,0.25,34.9,Medium,#ffff00,"{'crime_contribution': 9.9, 'poi_contribution': 8.0, 'street_contribution': 12.0, 'degree_contribution': 5.0}"
43.656514,-79.366942,Moss Park,3,10,0.556,0.2,0.533,0.375,44.42,Medium,#ffff00,"{'crime_contribution': 22.26, 'poi_contribution': 4.0, 'street_contribution': 10.67, 'degree_contribution': 7.5}"
43.657027,-79.36465,Regent Park,2,19,0.248,0.38,0.6,0.25,34.5,Medium,#ffff00,"{'crime_contribution': 9.9, 'poi_contribution': 7.6, 'street_contribution': 12.0, 'degree_contribution': 5.0}"
43.658484,-79.377758,Downtown Yonge East,2,34,0.804,0.68,0.1,0.25,52.75,Medium,#ffff00,"{'crime_contribution': 32.15, 'poi_contribution': 13.6, 'street_contribution': 2.0, 'degree_contribution': 5.0}"
43.658404,-79.37813,Downtown Yonge East,2,30,0.804,0.6,0.1,0.25,51.15,Medium,#ffff00,"{'crime_contribution': 32.15, 'poi_contribution': 12.0, 'street_contribution': 2.0, 'degree_contribution': 5.0}"
43.655783,-79.399397,Kensington-Chinatown,3,79,0.701,1.0,0.1,0.375,57.55,Medium,#ffff00,"{'crime_contribution': 28.05, 'poi_contribution': 20.0, 'street_contribution': 2.0, 'degree_contribution': 7.5}"
