source,target,weight,length_m,street_name,highway_type,start_node_weight,end_node_weight,category
477,483,40.758727717927954,293.51722367273754,Jack Layton Way,residential,35.46,27.56,Low
484,485,30.476940755965522,34.51937392958321,St. Matthews Road,residential,33.06,25.86,Low
486,487,24.516264506206415,235.38747826688925,Sparkhall Avenue,residential,18.66,21.03,Low
474,2428,23.450387550083548,110.86629796700842,Brydale Avenue,residential,21.96,20.26,Low
456,454,32.70773651707794,100.15931776246033,Amelia Street,residential,28.23,31.23,Low
458,488,35.02125723033947,70.00480386005097,River Street,residential,28.33,37.13,Low
489,490,33.30550959170558,46.35594067563872,River Street,secondary,31.83,31.83,Low
493,494,73.78970421062563,467.13797018840086,Bleecker Street,residential,58.16,42.43,Medium
2042,495,48.922486119537645,335.03850783292785,Homewood Avenue,residential,42.56,30.73,Low
496,497,31.614582620704198,97.15712721513798,Maitland Place,residential,28.2,29.43,Low
498,499,52.85033404861268,49.65906749975522,Sherbourne Street,tertiary,51.63,49.07,Medium
500,501,34.59264797837223,78.82887816535866,Ontario Street,residential,31.53,32.6,Low
502,500,30.348570302577492,54.502095294561805,Ontario Street,residential,26.03,31.53,Low
503,504,34.48518350141408,93.72608631189587,Ontario Street,residential,35.93,27.13,Low
504,467,43.286102891475494,292.8943515972371,Winchester Street,residential,27.13,39.83,Low
505,503,57.157601460179315,295.20964106456654,Aberdeen Avenue,residential,52.33,35.93,Medium
507,508,52.44199068027987,277.8262836325503,Seaton Street,residential,44.02,38.06,Medium
509,510,57.87216528493095,235.39684672709902,Ontario Street,residential,50.66,43.03,Medium
511,512,68.08645669071394,233.2268916992202,Berkeley Street,residential,57.46,52.96,Medium
513,514,36.43889343121509,191.59232933993104,Gerrard Street East,secondary,30.9,30.26,Low
4324,515,30.903837439587353,122.55130546993654,Wellesley Street East,residential,26.73,28.33,Low
516,517,69.21914113964742,62.45803744662201,Sheard Street,residential,65.15,65.15,Medium
518,519,68.65893475582641,414.4815565683231,Alexander Street,residential,45.14,51.94,Medium
520,521,68.5727776047983,412.2701597116323,Wood Street,residential,53.97,43.14,Medium
522,523,59.76268098480077,295.8083474588197,Breadalbane Street,residential,37.1,55.14,Medium
524,525,33.862756110088114,337.6557815559198,St. Joseph Street,unclassified,26.03,24.6,Low
526,527,44.265619083295945,87.60734848392977,Irwin Avenue,residential,38.2,43.2,Low
528,529,42.996319002213646,137.46875667231882,St Nicholas Street,residential,37.4,38.2,Low
531,532,78.16725801580236,651.3627974184506,Charles Street East,residential,45.53,49.14,Medium
534,1978,39.46883650802352,194.2159306512413,Inkerman Street,residential,34.7,31.4,Low
535,211,61.843135893318575,331.6782061438109,Hayden Street,residential,46.14,46.74,Medium
211,3307,44.72536351250043,144.16381459453638,Hayden Street,residential,46.74,31.44,Low
